invoice_id,tenant_id,service_category,cost_usd,compute_hours,billing_date
INV-100082,T-1007,Database,728.1,280.48,2026-04-23
INV-100083,T-1017,Network,179.29,78.68,2026-04-01
INV-100084,T-1038,Network,420.42,229.19,2026-03-29
INV-100085,T-1047,Compute,503.2,439.74,2026-03-26
INV-100086,T-1046,Network,255.16,219.67,2026-01-08
INV-100087,T-1007,Compute,288.91,333.89,2026-07-12
INV-100088,T-1014,Database,731.2,152.05,2026-03-03
INV-100089,T-1020,Network,308.93,170.44,2026-08-13
INV-100090,T-1020,Compute,262.63,71.52,2026-01-20
INV-100091,T-1053,Database,209.46,46.63,2026-07-08
INV-100092,T-1071,Network,315.54,470.91,2026-01-15
INV-100093,T-1023,Compute,752.64,308.27,2026-05-16
INV-100094,T-1023,Compute,160.52,33.17,2026-02-17
INV-100095,T-1046,Storage,641.64,475.22,2026-05-04
INV-100096,T-1023,Analytics,152.03,34.83,2026-02-27
INV-100097,T-1051,Compute,482.17,411.65,2026-06-07
INV-100098,T-1055,Compute,545.23,204.42,2026-06-16
INV-100099,T-1009,Network,236.57,143.88,2026-04-13
INV-100100,T-1038,Database,34.25,63.72,2026-03-04
INV-100101,T-1059,Database,407.4,153.06,2026-04-17
INV-100102,T-1049,Database,1815.02,466.85,2026-08-12
INV-100103,T-1040,Database,154.99,178.09,2026-06-26
INV-100104,T-1055,Compute,2099.46,470.79,2026-06-23
INV-100105,T-1046,Compute,412.48,114.51,2026-08-17
INV-100106,T-1079,Analytics,322.13,146.07,2026-06-05
INV-100107,T-1015,Compute,1112.87,228.11,2026-03-21
INV-100108,T-1081,Storage,478.04,183.59,2026-05-22
INV-100109,T-1081,Database,557.98,140.02,2026-08-03
INV-100110,T-1050,Database,432.89,140.91,2026-06-07
INV-100111,T-1029,Analytics,876.38,457.15,2026-07-14
INV-100112,T-1016,Database,23.87,20.03,2026-01-04
INV-100113,T-1059,Storage,745.52,252.34,2026-08-13
INV-100114,T-1071,Network,233.66,199.98,2026-05-26
INV-100115,T-1010,Database,838.11,269.69,2026-03-11
INV-100116,T-1085,Database,1064.73,332.62,2026-02-10
INV-100117,T-1015,Network,1035.39,376.32,2026-08-19
INV-100118,T-1079,Analytics,189.73,132.78,2026-04-10
INV-100119,T-1029,Analytics,-933.33,342.18,2026-07-12
INV-100120,T-1031,Compute,77.06,43.52,2026-06-07
INV-100121,T-1063,Compute,1409.63,479.65,2026-01-01
INV-100122,T-1036,Storage,201.04,107.85,2026-01-05
INV-100123,T-1027,Database,1161.37,237.05,2026-05-23
INV-100124,T-1062,Compute,1377.78,295.18,2026-03-19
INV-100125,T-1072,Storage,349.86,404.69,2026-05-27
INV-100126,T-1035,Storage,1249.65,272.34,2026-08-21
INV-100127,T-1035,Analytics,1235.19,256.71,2026-08-10
INV-100128,T-1040,Analytics,215.13,57.57,2026-06-12
INV-100129,,Analytics,2114.4,492.03,2026-01-02
INV-100130,T-1020,Compute,25.29,17.73,2026-03-23
INV-100131,T-1003,Storage,323.95,111.45,2026-06-21
INV-100132,T-1031,Storage,951.17,427.53,2026-02-23
INV-100133,T-1030,Network,582.62,238.93,2026-07-06
INV-100134,T-1031,Database,219.85,292.0,2026-01-22
INV-100135,T-1051,Network,293.11,246.89,2026-08-12
INV-100136,T-1030,Compute,58.68,26.5,2026-07-23
INV-100137,T-1049,Analytics,42.2,36.26,2026-05-18
INV-100138,T-1014,Storage,319.69,348.57,2026-04-06
INV-100139,T-1056,Storage,948.68,199.82,2026-02-16
INV-100140,T-1082,Network,842.32,278.25,2026-08-20
INV-100141,T-1028,Network,381.09,402.74,2026-06-12
INV-100142,T-1020,Storage,1876.11,441.27,2026-07-23
INV-100143,T-1030,Analytics,64.38,13.33,2026-02-07
INV-100144,T-1078,Network,1947.2,390.55,2026-07-15
INV-100145,T-1008,Analytics,438.34,362.81,2026-06-06
INV-100146,T-1062,Storage,230.55,262.97,2026-01-02
INV-100147,T-1064,Storage,686.83,439.29,2026-06-09
INV-100148,T-1016,UnknownService,990.11,417.54,2026-07-08
INV-100149,T-1074,Compute,540.47,115.28,2026-01-02
INV-100150,T-1020,Analytics,247.5,302.63,2026-06-19
INV-100151,T-1053,Database,2342.78,475.75,2026-04-16
INV-100152,T-1069,Storage,328.32,458.57,2026-02-16
INV-100153,T-1065,Storage,516.8,155.6,2026-04-02
INV-100154,T-1014,Storage,11.88,13.33,2026-05-13
INV-100155,T-1023,Storage,57.84,20.62,2026-07-15
INV-100156,T-1018,Database,185.11,89.81,2026-06-23
INV-100157,T-1047,Analytics,269.02,119.14,2026-05-22
INV-100158,T-1009,Compute,97.4,127.42,2026-08-17
INV-100159,T-1075,Network,755.67,375.93,2026-08-25
INV-100160,T-1022,Network,243.62,312.37,2026-01-12
INV-100161,T-1084,Network,819.73,443.5,2026-04-07
INV-100162,T-1081,Database,1404.37,496.83,2026-05-18
INV-100163,T-1076,Storage,67.69,22.19,2026-08-20
INV-100164,T-1055,Analytics,93.3,49.18,2026-01-19
INV-100165,T-1068,Analytics,422.62,362.14,2026-02-07
INV-100166,T-1003,Network,218.29,59.75,2026-01-16
INV-100167,T-1032,Analytics,19.07,29.96,2026-01-24
INV-100168,T-1059,Network,333.98,227.14,2026-01-15
INV-100169,T-1041,Storage,-503.93,218.75,2026-07-29
INV-100170,T-1056,Compute,1332.4,349.25,2026-06-02
INV-100171,T-1005,Compute,293.51,367.87,2026-02-19
INV-100172,,Analytics,1394.39,420.24,2026-02-07
INV-100173,T-1076,Storage,145.77,277.6,2026-02-13
INV-100174,T-1058,Compute,533.92,438.05,2026-03-23
INV-100175,T-1065,Storage,687.84,344.51,2026-06-07
INV-100176,T-1084,Analytics,305.4,167.97,2026-01-29
INV-100177,T-1052,Storage,1492.0,317.7,2026-05-16
INV-100178,T-1037,Database,892.57,384.89,2026-02-09
INV-100179,T-1044,Database,108.89,40.61,2026-06-13
INV-100180,T-1023,Analytics,826.25,178.64,2026-04-04
INV-100181,T-1052,Analytics,1031.57,334.87,2026-02-16
INV-100182,T-1051,Analytics,632.63,391.0,2026-01-01
INV-100183,T-1017,Compute,490.95,141.59,2026-04-25
INV-100184,T-1021,Storage,18.3,31.46,2026-02-04
INV-100185,T-1073,Database,626.0,141.18,2026-02-17
INV-100186,T-1054,Storage,1098.37,280.41,2026-07-01
INV-100187,T-1071,Analytics,1045.25,399.67,2026-06-22
INV-100188,T-1030,Network,1400.99,339.76,2026-01-01
INV-100189,T-1019,Analytics,299.31,149.99,2026-08-27
INV-100190,T-1026,Network,637.71,146.0,2026-07-26
INV-100191,,Database,762.55,333.91,2026-08-25
INV-100192,T-1057,Database,272.37,303.77,2026-03-20
INV-100193,T-1021,Database,205.23,133.85,2026-01-20
INV-100194,T-1030,Analytics,785.96,361.58,2026-06-03
INV-100195,T-1031,Compute,32.65,12.79,2026-06-15
INV-100196,T-1006,Database,246.67,96.01,2026-08-26
INV-100197,T-1007,Analytics,903.41,220.89,2026-07-20
INV-100198,T-1008,Network,1682.89,471.17,2026-04-12
INV-100199,T-1062,Database,706.67,211.45,2026-06-28
INV-100200,T-1035,Compute,728.52,420.76,2026-02-09
INV-100201,T-1072,Storage,196.63,59.41,2026-08-20
INV-100202,T-1044,Storage,252.55,131.3,2026-04-17
INV-100203,T-1058,Network,116.19,224.3,2026-07-22
INV-100204,T-1025,Storage,918.41,423.57,2026-03-03
INV-100205,T-1078,Analytics,319.63,155.94,2026-05-21
INV-100206,T-1022,Database,850.94,343.1,2026-06-05
INV-100207,T-1082,Storage,1336.92,346.92,2026-04-12
INV-100208,T-1015,Analytics,639.22,477.01,2026-07-18
INV-100209,T-1050,Compute,1004.16,398.02,2026-01-07
INV-100210,T-1070,Database,715.19,415.75,2026-02-22
INV-100211,T-1056,Storage,646.37,385.13,2026-01-28
INV-100212,T-1027,Database,1541.93,489.14,2026-07-01
INV-100213,T-1020,Storage,171.22,71.92,2026-05-16
INV-100214,T-1003,Analytics,158.3,245.47,2026-04-20
INV-100215,T-1013,Compute,1849.07,469.3,2026-07-27
INV-100216,T-1055,Storage,771.49,211.9,2026-01-19
INV-100217,T-1083,Analytics,510.19,140.23,2026-04-19
INV-100218,T-1078,Compute,386.89,91.95,2026-03-17
INV-100219,T-1032,Compute,343.24,173.06,2026-02-04
INV-100220,T-1032,Analytics,1271.52,281.89,2026-05-28
INV-100221,T-1004,Analytics,917.61,288.71,2026-08-26
INV-100222,T-1030,Compute,2089.67,473.25,2026-08-23
INV-100223,T-1007,Compute,409.2,464.99,2026-07-17
INV-100224,T-1037,Storage,95.28,30.18,2026-02-15
INV-100225,T-1075,Analytics,63.72,90.28,2026-02-14
INV-100226,T-1034,UnknownService,2340.96,495.23,2026-05-24
INV-100227,T-1051,Analytics,1048.93,269.96,2026-05-07
INV-100228,T-1010,Database,1125.29,250.03,2026-03-19
INV-100229,T-1058,Compute,449.3,168.52,2026-07-08
INV-100230,T-1050,Compute,575.7,190.82,2026-05-25
INV-100231,T-1049,Network,78.04,96.88,2026-04-26
INV-100232,T-1046,Network,103.81,36.09,2026-04-10
INV-100233,T-1010,Analytics,206.97,187.68,2026-03-28
INV-100234,T-1034,Database,582.01,305.22,2026-06-25
INV-100235,T-1035,Storage,1768.61,465.62,2026-04-30
INV-100236,T-1085,Storage,202.17,76.85,2026-08-13
INV-100237,T-1031,Database,1148.63,446.82,2026-04-30
INV-100238,T-1053,Analytics,364.37,169.06,2026-07-12
INV-100239,T-1033,Network,143.37,65.58,2026-01-06
INV-100240,T-1032,Analytics,1208.09,457.14,2026-07-23
INV-100241,T-1006,Compute,601.94,229.01,2026-05-06
INV-100242,T-1055,Compute,1576.94,357.24,2026-08-06
INV-100243,T-1002,Compute,255.22,76.39,2026-05-27
INV-100244,T-1050,Database,582.27,456.67,2026-04-26
INV-100245,T-1056,Analytics,1004.02,489.8,2026-02-17
INV-100246,T-1001,Compute,153.13,157.99,2026-01-13
INV-100247,T-1065,Compute,767.44,472.48,2026-02-14
INV-100248,T-1058,Storage,985.65,237.44,2026-06-29
INV-100249,T-1045,Network,400.97,139.66,2026-02-22
INV-100250,T-1029,Analytics,493.21,254.09,2026-03-10
INV-100251,T-1017,Storage,1291.55,344.69,2026-01-21
INV-100252,T-1078,Storage,248.67,170.02,2026-08-06
INV-100253,T-1010,Analytics,213.58,418.38,2026-05-26
INV-100254,T-1042,Storage,773.28,216.16,2026-06-28
INV-100255,T-1025,Network,566.25,191.88,2026-05-31
INV-100256,T-1063,Network,1008.82,274.14,2026-08-14
INV-100257,T-1007,Compute,573.12,277.32,2026-05-31
INV-100258,T-1050,Analytics,104.88,67.48,2026-04-14
INV-100259,T-1039,Network,954.34,245.8,2026-01-05
INV-100260,T-1050,Analytics,2190.44,464.2,2026-06-27
INV-100261,T-1007,Compute,69.7,52.11,2026-08-29
INV-100262,T-1022,Database,2201.3,453.65,2026-03-09
INV-100263,T-1076,Compute,613.19,125.54,2026-08-20
INV-100264,T-1064,Network,491.18,99.55,2026-02-24
INV-100265,T-1052,Compute,827.22,499.0,2026-06-11
INV-100266,T-1063,Network,267.6,107.47,2026-06-23
INV-100267,T-1022,Compute,188.76,155.7,2026-07-26
INV-100268,T-1066,Compute,1650.86,478.6,2026-01-04
INV-100269,T-1006,Database,1761.64,476.24,2026-06-28
INV-100270,T-1026,Compute,1527.6,379.55,2026-01-29
INV-100271,T-1046,Compute,816.15,413.87,2026-07-09
INV-100272,T-1030,Storage,645.76,138.41,2026-08-22
INV-100273,T-1030,Compute,1018.03,457.07,2026-06-02
INV-100274,T-1026,UnknownService,941.63,342.81,2026-06-24
INV-100275,T-1014,Storage,55.08,22.7,2026-03-14
INV-100276,T-1009,Compute,1491.44,436.95,2026-07-18
INV-100277,T-1016,Database,210.11,103.17,2026-06-05
INV-100278,T-1016,Network,164.3,187.69,2026-07-15
INV-100279,T-1085,Analytics,115.65,84.83,2026-05-20
INV-100280,T-1010,Network,471.97,480.68,2026-07-02
INV-100281,T-1060,Database,41.28,23.74,2026-03-05
INV-100282,T-1040,Network,245.45,207.26,2026-05-28
INV-100283,T-1078,Compute,136.97,35.88,2026-08-06
INV-100284,T-1033,Storage,655.84,232.57,2026-01-21
INV-100285,T-1039,Database,1716.02,397.36,2026-04-06
INV-100286,T-1072,Database,1223.1,248.34,2026-03-14
INV-100287,T-1032,Storage,766.13,368.94,2026-07-03
INV-100288,T-1061,Storage,2289.63,470.31,2026-08-07
INV-100289,T-1025,Analytics,1403.04,281.22,2026-01-06
INV-100290,T-1026,Compute,301.94,354.62,2026-02-28
INV-100291,T-1058,Network,748.04,195.13,2026-06-28
INV-100292,T-1010,Storage,687.45,371.12,2026-08-18
INV-100293,T-1067,Network,347.09,469.18,2026-01-04
INV-100294,T-1026,Compute,424.38,230.93,2026-06-20
INV-100295,T-1004,Storage,265.9,154.95,2026-06-08
INV-100296,T-1031,Database,409.68,114.92,2026-08-13
INV-100297,T-1060,Analytics,-1113.3,336.6,2026-03-25
INV-100298,T-1001,Analytics,766.82,208.82,2026-08-12
INV-100299,,Analytics,985.23,457.54,2026-03-14
INV-100300,T-1042,Analytics,422.44,432.15,2026-02-02
INV-100301,T-1009,Network,1230.92,355.44,2026-06-27
INV-100302,T-1082,Network,579.66,134.87,2026-02-10
INV-100303,T-1028,Network,353.67,108.14,2026-08-12
INV-100304,T-1040,Analytics,1599.51,430.49,2026-04-07
INV-100305,T-1011,Compute,2060.34,422.49,2026-06-29
INV-100306,T-1026,Storage,566.58,319.21,2026-01-31
INV-100307,T-1023,Analytics,237.05,196.96,2026-08-18
INV-100308,T-1083,Database,1645.5,429.92,2026-05-19
INV-100309,T-1010,Analytics,254.94,63.27,2026-01-12
INV-100310,T-1042,Database,812.74,438.73,2026-05-21
INV-100311,T-1016,Storage,1280.35,339.62,2026-04-17
INV-100312,T-1080,Compute,49.43,18.36,2026-08-11
INV-100313,T-1055,Network,442.87,169.25,2026-05-25
INV-100314,T-1018,Network,79.72,21.92,2026-08-24
INV-100315,T-1018,UnknownService,1561.18,353.66,2026-02-09
INV-100316,T-1055,Analytics,234.95,144.5,2026-03-01
INV-100317,T-1016,Storage,88.74,52.69,2026-08-12
INV-100318,T-1078,Storage,431.77,188.73,2026-02-07
INV-100319,T-1055,Compute,1335.75,347.92,2026-07-30
INV-100320,T-1072,Storage,706.1,423.76,2026-02-05
INV-100321,T-1061,Network,487.21,498.17,2026-08-06
INV-100322,T-1067,Database,104.33,50.25,2026-08-19
INV-100323,T-1051,Network,726.08,311.59,2026-07-10
INV-100324,,Network,537.33,245.24,2026-04-13
INV-100325,T-1029,Compute,356.08,329.25,2026-01-15
INV-100326,T-1023,Compute,430.32,191.12,2026-03-15
INV-100327,T-1022,Database,915.73,438.55,2026-06-25
INV-100328,T-1078,Network,38.16,50.3,2026-05-09
INV-100329,T-1076,Database,422.65,176.51,2026-07-13
INV-100330,T-1068,Network,61.46,34.86,2026-06-05
INV-100331,T-1015,Compute,902.93,301.94,2026-06-03
INV-100332,T-1060,Storage,955.34,485.66,2026-07-21
INV-100333,T-1019,Network,1173.9,276.76,2026-04-05
INV-100334,T-1013,Storage,1333.39,475.76,2026-02-12
INV-100335,T-1071,Database,571.03,369.82,2026-05-31
INV-100336,T-1036,Database,573.68,289.03,2026-08-16
INV-100337,T-1005,Network,930.18,379.14,2026-07-28
INV-100338,T-1073,Database,162.92,122.53,2026-01-27
INV-100339,T-1035,Compute,1467.67,400.31,2026-07-11
INV-100340,T-1002,Compute,300.59,230.36,2026-08-19
INV-100341,T-1050,Network,221.14,172.28,2026-01-10
INV-100342,T-1020,Storage,263.57,207.01,2026-04-10
INV-100343,T-1027,Database,748.61,372.12,2026-05-19
INV-100344,T-1036,Network,641.96,217.63,2026-06-14
INV-100345,T-1059,Compute,520.73,238.97,2026-04-24
INV-100346,T-1068,Database,288.38,107.32,2026-04-17
INV-100347,T-1041,UnknownService,549.79,167.08,2026-05-13
INV-100348,T-1019,Network,778.8,226.92,2026-07-26
INV-100349,T-1013,Analytics,368.42,89.65,2026-05-11
INV-100350,T-1046,Compute,818.5,259.52,2026-04-10
INV-100351,T-1031,Compute,723.03,417.13,2026-07-31
INV-100352,T-1062,Analytics,1719.79,399.54,2026-07-23
INV-100353,T-1040,Analytics,550.2,204.26,2026-05-10
INV-100354,T-1080,Storage,1123.98,477.66,2026-07-17
INV-100355,T-1059,Analytics,277.26,237.2,2026-05-18
INV-100356,T-1078,Analytics,1892.94,483.63,2026-04-11
INV-100357,T-1039,Network,190.11,323.32,2026-08-12
INV-100358,T-1030,Network,649.07,195.75,2026-07-19
INV-100359,T-1061,Analytics,688.83,189.62,2026-04-12
INV-100360,T-1015,Analytics,117.94,195.58,2026-04-21
INV-100361,T-1056,Analytics,349.16,100.07,2026-05-13
INV-100362,T-1055,Storage,1247.16,283.16,2026-02-26
INV-100363,T-1026,Storage,264.75,224.84,2026-03-15
INV-100364,T-1069,Network,938.56,235.39,2026-02-09
INV-100365,T-1051,Network,807.56,224.19,2026-04-30
INV-100366,T-1069,Network,348.82,420.93,2026-08-19
INV-100367,T-1061,Compute,1348.59,338.1,2026-08-18
INV-100368,T-1054,Database,216.97,126.54,2026-08-11
INV-100369,T-1001,Storage,1145.99,308.46,2026-07-27
INV-100370,T-1058,Compute,481.49,468.26,2026-07-14
INV-100371,T-1074,Database,704.09,300.88,2026-05-07
INV-100372,T-1021,Analytics,222.0,188.12,2026-02-25
INV-100373,T-1006,Compute,1169.37,392.18,2026-03-12
INV-100374,T-1041,Network,355.23,176.7,2026-04-07
INV-100375,T-1051,Network,1071.98,447.27,2026-02-01
INV-100376,T-1065,Compute,252.69,134.08,2026-06-28
INV-100377,T-1066,Analytics,200.13,58.78,2026-08-21
INV-100378,T-1025,Compute,92.75,34.38,2026-08-09
INV-100379,T-1054,Database,2320.93,489.19,2026-02-25
INV-100380,T-1035,Storage,15.12,10.34,2026-03-23
INV-100381,T-1043,Compute,546.44,350.97,2026-04-15
INV-100382,T-1010,Storage,506.86,144.72,2026-03-30
INV-100383,T-1012,Network,-1954.02,427.58,2026-08-17
INV-100384,T-1059,Compute,658.66,264.07,2026-04-01
INV-100385,T-1018,Network,1396.78,493.59,2026-01-30
INV-100386,T-1075,Network,227.68,54.47,2026-07-01
INV-100387,T-1073,Compute,405.12,144.2,2026-01-17
INV-100388,T-1078,Network,236.33,49.5,2026-02-20
INV-100389,T-1018,Compute,1110.63,258.41,2026-04-06
INV-100390,T-1065,Database,332.56,93.31,2026-06-29
INV-100391,T-1051,Database,122.4,40.74,2026-02-05
INV-100392,T-1020,Database,517.82,150.12,2026-06-25
INV-100393,T-1015,Database,1088.21,233.3,2026-03-16
INV-100394,T-1027,Network,360.43,85.04,2026-05-19
INV-100395,T-1081,Network,1718.54,423.66,2026-02-11
INV-100396,T-1066,Database,1317.17,448.18,2026-04-26
INV-100397,T-1067,Network,1025.55,266.83,2026-03-10
INV-100398,T-1081,Storage,144.51,37.55,2026-01-01
INV-100399,T-1039,Storage,1158.4,310.78,2026-06-04
INV-100400,T-1030,Database,435.48,103.17,2026-01-30
INV-100401,T-1012,Network,-338.97,374.26,2026-01-08
INV-100402,T-1036,Compute,1041.84,398.61,2026-08-12
INV-100403,T-1061,Analytics,733.72,319.75,2026-04-06
INV-100404,T-1021,Analytics,214.6,348.09,2026-01-09
INV-100405,T-1039,Network,1142.71,342.67,2026-03-10
INV-100406,T-1065,Database,405.72,249.75,2026-02-06
INV-100407,T-1074,Database,427.37,110.06,2026-07-30
INV-100408,T-1027,Analytics,779.49,269.62,2026-08-20
INV-100409,T-1063,Compute,296.37,78.43,2026-07-04
INV-100410,T-1029,Database,463.07,306.6,2026-04-03
INV-100411,T-1045,Database,213.74,226.36,2026-05-04
INV-100412,T-1007,Storage,1695.29,482.72,2026-03-14
INV-100413,T-1034,Network,264.02,226.05,2026-05-10
INV-100414,T-1040,Database,886.72,427.73,2026-06-30
INV-100415,T-1047,Storage,2015.4,424.21,2026-01-31
INV-100416,T-1047,Analytics,1067.28,242.07,2026-01-01
INV-100417,T-1022,Compute,237.25,58.31,2026-01-24
INV-100418,T-1078,Storage,2218.41,447.14,2026-07-25
INV-100419,T-1033,Storage,1125.49,379.04,2026-06-05
INV-100420,T-1001,Compute,143.4,253.14,2026-08-05
INV-100421,T-1012,Compute,172.4,187.23,2026-08-20
INV-100422,T-1048,Analytics,428.79,201.59,2026-01-13
INV-100423,T-1043,Analytics,447.55,165.97,2026-07-24
INV-100424,T-1061,Storage,320.24,114.1,2026-01-01
INV-100425,T-1039,Analytics,958.51,284.93,2026-01-28
INV-100426,T-1022,Analytics,239.26,212.64,2026-06-04
INV-100427,T-1044,Storage,1415.54,470.45,2026-06-07
INV-100428,T-1044,Database,50.07,76.28,2026-08-16
INV-100429,T-1040,Database,486.73,324.81,2026-05-29
INV-100430,T-1040,Database,167.01,63.91,2026-05-08
INV-100431,T-1052,Compute,538.55,164.47,2026-01-28
INV-100432,T-1044,Analytics,688.82,328.63,2026-04-27
INV-100433,T-1030,Database,858.63,206.75,2026-04-27
INV-100434,T-1078,Compute,798.91,291.86,2026-07-07
INV-100435,T-1027,Analytics,61.64,65.36,2026-06-16
INV-100436,T-1018,Compute,431.8,458.02,2026-01-27
INV-100437,T-1063,Database,579.29,257.79,2026-07-14
INV-100438,T-1037,Network,278.92,86.81,2026-07-25
INV-100439,T-1008,Storage,1053.77,311.95,2026-06-02
INV-100440,T-1042,Database,647.96,200.57,2026-07-31
INV-100441,T-1010,Storage,1830.25,387.73,2026-01-01
INV-100442,T-1085,Network,226.74,360.22,2026-07-11
INV-100443,T-1012,Storage,309.74,160.93,2026-03-08
INV-100444,T-1011,Network,1378.63,347.95,2026-06-10
INV-100445,T-1019,Network,327.24,132.2,2026-03-06
INV-100446,T-1045,Network,577.47,150.31,2026-08-14
INV-100447,T-1014,Compute,470.33,228.0,2026-05-15
INV-100448,T-1036,Database,509.53,125.66,2026-01-23
INV-100449,T-1064,Network,417.44,178.2,2026-03-05
INV-100450,T-1030,Storage,621.64,127.82,2026-07-30
INV-100451,T-1024,Analytics,654.21,383.93,2026-06-01
INV-100452,T-1018,Database,102.11,30.45,2026-02-25
INV-100453,T-1025,Database,1592.15,337.72,2026-05-19
INV-100454,T-1033,Compute,1046.31,436.06,2026-08-11
INV-100455,T-1051,Storage,262.14,59.17,2026-05-11
INV-100456,T-1070,Database,1466.12,329.96,2026-02-14
INV-100457,T-1003,Network,43.89,21.06,2026-06-30
INV-100458,T-1007,Analytics,24.58,47.86,2026-06-23
INV-100459,T-1008,Compute,355.69,374.72,2026-02-20
INV-100460,T-1015,Analytics,1382.99,281.0,2026-07-06
INV-100461,T-1078,Network,556.02,266.28,2026-08-28
INV-100462,T-1012,Network,509.31,250.9,2026-03-02
INV-100463,T-1075,Network,1095.72,452.9,2026-07-13
INV-100464,T-1073,Analytics,595.14,264.8,2026-05-04
